""	"SRR11184896_1"	"SRR11184897_1"	"SRR11184898_1"	"SRR11184899_1"	"SRR11184900_1"	"SRR11184901_1"	"SRR11184902_1"	"SRR11184903_1"	"SRR11184904_1"	"SRR11184905_1"	"SRR11184906_1"	"SRR11184907_1"
"Spo00001"	13	44	19	99	103	121	88	38	39	124	198	107
"Spo00002"	1337	1410	1379	330	279	493	1927	2411	2133	585	660	609
"Spo00003"	709	1492	418	8907	7824	9132	2846	561	131	8241	6182	9564
"Spo00004"	11	6	19	53	30	29	19	12	20	33	50	55
"Spo00005"	628	706	681	403	345	372	915	961	1093	936	1516	575
"Spo00006"	0	0	0	0	0	4	0	0	0	2	2	0
"Spo00007"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00008"	24	55	60	55	49	39	42	25	54	63	32	33
"Spo00009"	295	113	160	432	470	373	237	186	195	483	361	338
"Spo00010"	0	1	0	1	0	0	0	0	0	1	0	0
"Spo00011"	1602	1664	1957	386	371	434	1622	1440	1935	552	461	460
"Spo00012"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00013"	753	928	1123	721	668	835	826	723	1254	907	964	797
"Spo00014"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00015"	179	140	174	143	165	82	97	127	171	122	122	119
"Spo00016"	21	115	56	54	52	47	130	70	139	25	185	98
"Spo00017"	626	651	608	679	601	684	862	1209	1161	616	1412	713
"Spo00018"	10	0	2	164	141	171	29	42	18	259	285	303
"Spo00019"	13	18	39	17	27	16	20	11	10	18	28	47
"Spo00020"	597	530	447	671	642	898	480	513	660	950	1137	1025
"Spo00021"	18	16	9	0	1	0	12	18	15	15	5	1
"Spo00022"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00023"	688	1246	1151	513	567	384	835	712	1013	481	578	450
"Spo00024"	117	110	180	228	278	230	92	56	100	323	231	223
"Spo00025"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00026"	1418	1154	1295	2076	1847	2216	1443	994	1400	2643	2646	2490
"Spo00027"	1853	2440	2081	678	556	768	1964	1854	2175	817	961	718
"Spo00028"	0	0	1	85	37	164	0	0	0	132	266	183
"Spo00029"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00030"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00031"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00032"	0	0	0	0	0	0	0	0	0	0	0	0
"Spo00033"	0	0	0	0	0	0	0	0	0	0	1	0
"Spo00034"	1824	1631	1486	1496	1826	1569	1246	1223	1607	1506	1926	2063
"Spo00035"	2104	2264	2691	2384	2490	1881	1621	1362	1891	2721	2319	2490
"Spo00039"	0	0	0	0	0	2	0	0	1	1	0	0
"Spo00041"	137	140	189	300	245	347	98	116	224	315	385	332
"Spo00042"	122	113	332	173	187	304	296	128	339	348	153	370
"Spo00043"	319	247	287	242	242	232	275	234	355	389	306	320
"Spo00044"	513	396	488	527	461	572	445	438	573	749	540	672
"Spo00045"	3	16	20	22	36	8	27	13	31	71	19	20
"Spo00047"	36	33	31	73	78	35	28	41	67	100	23	44
"Spo00048"	2643	3106	2758	4858	4783	4801	2360	2522	2753	5123	7576	5207
"Spo00049"	1371	1383	1659	2117	2157	1930	1215	1207	1583	2295	1965	1698
"Spo00050"	7	7	7	129	193	161	6	46	9	83	132	84
"Spo00051"	86	165	101	35	30	36	157	105	95	50	20	27
"Spo00052"	3199	2942	3838	6596	6339	6759	3073	3943	4046	7605	6527	7412
"Spo00053"	34	1	26	896	774	544	0	1	1	420	224	190
