""	"__alignment_not_unique"	"__ambiguous"	"__no_feature"	"__not_aligned"	"__too_low_aQual"	"total.counts"
"SRR11184896_1"	0	16542	12951531	0	0	36293333
"SRR11184897_1"	0	17273	14731915	0	0	40796234
"SRR11184898_1"	0	15908	15385352	0	0	41226484
"SRR11184899_1"	0	53138	14554225	0	0	37426521
"SRR11184900_1"	0	53384	14109732	0	0	36622226
"SRR11184901_1"	0	66792	13596918	0	0	35705935
"SRR11184902_1"	0	17754	14669604	0	0	37891180
"SRR11184903_1"	0	18324	13813872	0	0	37289943
"SRR11184904_1"	0	18650	15374358	0	0	40645953
"SRR11184905_1"	0	47484	15160469	0	0	40461452
"SRR11184906_1"	0	47979	14980366	0	0	41544071
"SRR11184907_1"	0	43771	13506407	0	0	36684898
